profile_set,scoring_config,seed,checkpoint,cumulative_gt_acc,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
simplified,w_g_learned,2048,1000,0.902,0.875,0.8934010152284264,0.9346733668341709,0.8952380952380953,0.9108910891089109
simplified,w_g_learned,3072,50,0.42,0.5714285714285714,0.2,0.625,0.3333333333333333,0.3333333333333333
simplified,w_g_learned,3072,100,0.56,0.5,0.45,0.6956521739130435,0.6153846153846154,0.5454545454545454
simplified,w_g_learned,3072,200,0.655,0.5333333333333333,0.6363636363636364,0.725,0.7333333333333333,0.6829268292682927
simplified,w_g_learned,3072,400,0.8,0.7228915662650602,0.7682926829268293,0.8289473684210527,0.8787878787878788,0.8172043010752689
simplified,w_g_learned,3072,700,0.8771428571428571,0.8308823529411765,0.8367346938775511,0.9057971014492754,0.9291338582677166,0.8881578947368421
simplified,w_g_learned,3072,1000,0.911,0.875,0.8840579710144928,0.934010152284264,0.9395604395604396,0.9234234234234234
simplified,w_g_learned,4096,50,0.5,0.6,0.1111111111111111,0.6666666666666666,0.5,0.6153846153846154
simplified,w_g_learned,4096,100,0.68,0.75,0.5294117647058824,0.8333333333333334,0.65,0.64
simplified,w_g_learned,4096,200,0.725,0.7560975609756098,0.5294117647058824,0.8125,0.7551020408163265,0.75
simplified,w_g_learned,4096,400,0.8,0.8192771084337349,0.6623376623376623,0.8153846153846154,0.8433734939759037,0.8478260869565217
simplified,w_g_learned,4096,700,0.86,0.8758620689655172,0.7762237762237763,0.8818897637795275,0.9020979020979021,0.8661971830985915
simplified,w_g_learned,4096,1000,0.899,0.9112149532710281,0.8465116279069768,0.9120879120879121,0.9285714285714286,0.9015544041450777
simplified,w_g_learned,5120,50,0.34,0.25,0.5,0.3333333333333333,0.3333333333333333,0.3076923076923077
simplified,w_g_learned,5120,100,0.53,0.4444444444444444,0.5625,0.5238095238095238,0.6190476190476191,0.5
simplified,w_g_learned,5120,200,0.645,0.6060606060606061,0.5142857142857142,0.65,0.7954545454545454,0.625
simplified,w_g_learned,5120,400,0.675,0.6219512195121951,0.6029411764705882,0.7093023255813954,0.76,0.6741573033707865
simplified,w_g_learned,5120,700,0.7314285714285714,0.7054794520547946,0.6774193548387096,0.732484076433121,0.8166666666666667,0.7320261437908496
simplified,w_g_learned,5120,1000,0.755,0.7307692307692307,0.7094972067039106,0.7603686635944701,0.8351063829787234,0.7403846153846154
