seed,oracle_type,noise_rate,checkpoint,cumulative_gt_acc,recent_20_gt_acc,w_frobenius,w_max,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
4096,gt_aligned,0.05,400,0.6625,0.65,3.030888,1.869084,0.060241,0.782051,0.753247,0.802817,0.923077
4096,gt_aligned,0.05,700,0.721429,0.85,4.938174,2.624915,0.049296,0.880282,0.858156,0.881481,0.95
4096,gt_aligned,0.05,1000,0.747,0.8,6.62596,3.420096,0.04,0.915,0.895,0.92,0.965
5120,gt_aligned,0.05,50,0.32,0.2,0.519169,0.199775,0.25,0.363636,0.076923,0.666667,0.416667
5120,gt_aligned,0.05,100,0.47,0.7,0.835679,0.515026,0.333333,0.615385,0.086957,0.545455,0.678571
5120,gt_aligned,0.05,200,0.595,0.7,1.665719,0.880399,0.731707,0.75,0.117647,0.416667,0.816327
5120,gt_aligned,0.05,400,0.7125,1.0,3.306444,1.717676,0.855263,0.88764,0.338235,0.506173,0.895349
5120,gt_aligned,0.05,700,0.801429,1.0,5.491015,2.633325,0.919708,0.931973,0.533835,0.656934,0.938356
5120,gt_aligned,0.05,1000,0.845,0.95,7.394109,3.36212,0.945,0.95,0.645,0.73,0.955
6144,gt_aligned,0.05,50,0.38,0.5,0.630253,0.328072,0.769231,0.5,0.0,0.416667,0.0
6144,gt_aligned,0.05,100,0.46,0.6,1.037351,0.629465,0.884615,0.444444,0.071429,0.454545,0.2
6144,gt_aligned,0.05,200,0.575,0.75,1.697261,0.923773,0.926829,0.454545,0.409091,0.594595,0.488889
6144,gt_aligned,0.05,400,0.755,1.0,3.391021,1.548272,0.963855,0.689189,0.623377,0.790123,0.694118
6144,gt_aligned,0.05,700,0.857143,1.0,5.831371,2.460586,0.977444,0.814815,0.804054,0.877698,0.82069
6144,gt_aligned,0.05,1000,0.9,1.0,7.778659,3.235727,0.985,0.875,0.855,0.915,0.87
42,gt_aligned,0.15,50,0.4,0.55,0.591547,0.309403,0.8,0.230769,0.285714,0.6,0.2
42,gt_aligned,0.15,100,0.46,0.55,0.821883,0.440607,0.388889,0.555556,0.411765,0.52381,0.352941
42,gt_aligned,0.15,200,0.61,0.75,1.553268,0.743252,0.685714,0.72093,0.55814,0.636364,0.428571
42,gt_aligned,0.15,400,0.7675,0.95,3.096117,1.391659,0.865854,0.857143,0.666667,0.804878,0.623377
42,gt_aligned,0.15,700,0.861429,1.0,5.232834,2.22398,0.921986,0.912409,0.804348,0.883562,0.782609
42,gt_aligned,0.15,1000,0.903,1.0,7.055663,2.97116,0.945,0.94,0.865,0.915,0.85
123,gt_aligned,0.15,50,0.32,0.35,0.517557,0.217462,0.25,0.111111,0.357143,0.454545,0.375
123,gt_aligned,0.15,100,0.42,0.6,0.70053,0.329968,0.5,0.117647,0.384615,0.6,0.473684
123,gt_aligned,0.15,200,0.555,0.85,1.280952,0.695898,0.625,0.302326,0.5,0.795455,0.564103
123,gt_aligned,0.15,400,0.73,1.0,2.759237,1.4063,0.835616,0.488095,0.69863,0.891566,0.747126
123,gt_aligned,0.15,700,0.838571,1.0,4.665508,2.178808,0.910448,0.684564,0.828358,0.93617,0.84507
123,gt_aligned,0.15,1000,0.887,1.0,6.39115,2.914086,0.94,0.765,0.885,0.955,0.89
456,gt_aligned,0.15,50,0.36,0.5,0.549476,0.232019,0.125,0.444444,0.307692,0.25,0.75
456,gt_aligned,0.15,100,0.4,0.5,0.735055,0.379881,0.3125,0.3,0.368421,0.391304,0.590909
456,gt_aligned,0.15,200,0.635,0.85,1.457199,0.736929,0.558824,0.527778,0.604651,0.673913,0.780488
