method,seed,domain_pair,theta_logit,top_k,threshold,n_discovered,true_pos,false_pos,false_neg,precision,recall,f1
logit_only,6144,secxdec,0.01,,,16060,15,16045,0,0.0009,1.0,0.0019
logit_only,6144,secxdec,0.02,,,6526,15,6511,0,0.0023,1.0,0.0046
logit_only,6144,secxdec,0.03,,,1989,15,1974,0,0.0075,1.0,0.015
logit_only,6144,secxdec,0.04,,,437,12,425,3,0.0275,0.8,0.0531
logit_only,6144,secxdec,0.05,,,60,2,58,13,0.0333,0.1333,0.0533
logit_only,6144,secxdec,0.06,,,3,0,3,15,0.0,0.0,0.0
topk_only,6144,secxdec,,1,,200,6,194,9,0.03,0.4,0.0558
topk_only,6144,secxdec,,2,,400,9,391,6,0.0225,0.6,0.0434
topk_only,6144,secxdec,,3,,600,11,589,4,0.0183,0.7333,0.0358
topk_only,6144,secxdec,,5,,1000,13,987,2,0.013,0.8667,0.0256
cosine,6144,secxdec,,,0.1,13213,15,13198,0,0.0011,1.0,0.0023
cosine,6144,secxdec,,,0.15,7457,15,7442,0,0.002,1.0,0.004
cosine,6144,secxdec,,,0.2,3762,15,3747,0,0.004,1.0,0.0079
cosine,6144,secxdec,,,0.25,1651,14,1637,1,0.0085,0.9333,0.0168
cosine,6144,secxdec,,,0.3,679,12,667,3,0.0177,0.8,0.0346
cosine,6144,secxdec,,,0.35,244,10,234,5,0.041,0.6667,0.0772
random,6144,secxdec,,,,248,0.062,247.938,14.938,0.0003,0.0041,0.0005
