condition,volume,q_bar,margin,seed,alarm_fired,alarm_index,t_damage,lead_time,miss,baseline_q,k_used
adversarial,50,0.75,0.05,7550005,True,182,190,8,False,0.8717,0.8217
adversarial,50,0.75,0.05,7550006,False,,,,,0.7198,0.6698
adversarial,50,0.75,0.05,7550007,True,150,,,,0.7568,0.7068
adversarial,50,0.75,0.05,7550008,False,,,,,0.7919,0.7419
adversarial,50,0.75,0.05,7550009,False,,213,,True,0.6960,0.6460
adversarial,50,0.75,0.05,7550010,True,366,,,,0.8224,0.7724
adversarial,50,0.75,0.05,7550011,True,333,145,-188,True,0.7995,0.7495
adversarial,50,0.75,0.05,7550012,True,407,396,-11,True,0.6962,0.6462
adversarial,50,0.75,0.05,7550013,False,,,,,0.6162,0.5662
adversarial,50,0.75,0.05,7550014,True,180,144,-36,True,0.8504,0.8004
adversarial,50,0.75,0.05,7550015,False,,195,,True,0.6690,0.6190
adversarial,50,0.75,0.05,7550016,True,287,293,6,False,0.8415,0.7915
adversarial,50,0.75,0.05,7550017,True,172,329,157,False,0.8909,0.8409
adversarial,50,0.75,0.05,7550018,False,,349,,True,0.6972,0.6472
adversarial,50,0.75,0.05,7550019,False,,,,,0.7282,0.6782
adversarial,50,0.75,0.05,7550020,False,,243,,True,0.6333,0.5833
adversarial,50,0.75,0.05,7550021,True,115,145,30,False,0.9114,0.8614
adversarial,50,0.75,0.05,7550022,False,,144,,True,0.7377,0.6877
adversarial,50,0.75,0.05,7550023,True,215,208,-7,True,0.8218,0.7718
adversarial,50,0.75,0.05,7550024,True,146,,,,0.8561,0.8061
adversarial,50,0.75,0.05,7550025,False,,,,,0.6085,0.5585
adversarial,50,0.75,0.05,7550026,True,93,,,,0.9014,0.8514
adversarial,50,0.75,0.05,7550027,True,189,188,-1,True,0.8357,0.7857
adversarial,50,0.75,0.05,7550028,False,,,,,0.5698,0.5198
adversarial,50,0.75,0.05,7550029,False,,,,,0.6911,0.6411
adversarial,50,0.75,0.08,7550000,True,79,268,189,False,0.8446,0.7646
adversarial,50,0.75,0.08,7550001,False,,262,,True,0.7402,0.6602
adversarial,50,0.75,0.08,7550002,False,,144,,True,0.5842,0.5042
adversarial,50,0.75,0.08,7550003,True,414,,,,0.8629,0.7829
adversarial,50,0.75,0.08,7550004,True,118,,,,0.8535,0.7735
adversarial,50,0.75,0.08,7550005,True,194,190,-4,True,0.8717,0.7917
adversarial,50,0.75,0.08,7550006,False,,,,,0.7198,0.6398
adversarial,50,0.75,0.08,7550007,False,,,,,0.7568,0.6768
adversarial,50,0.75,0.08,7550008,False,,,,,0.7919,0.7119
adversarial,50,0.75,0.08,7550009,False,,213,,True,0.6960,0.6160
adversarial,50,0.75,0.08,7550010,True,380,,,,0.8224,0.7424
adversarial,50,0.75,0.08,7550011,False,,145,,True,0.7995,0.7195
adversarial,50,0.75,0.08,7550012,False,,396,,True,0.6962,0.6162
adversarial,50,0.75,0.08,7550013,False,,,,,0.6162,0.5362
adversarial,50,0.75,0.08,7550014,True,315,144,-171,True,0.8504,0.7704
adversarial,50,0.75,0.08,7550015,False,,195,,True,0.6690,0.5890
adversarial,50,0.75,0.08,7550016,True,305,293,-12,True,0.8415,0.7615
adversarial,50,0.75,0.08,7550017,True,211,329,118,False,0.8909,0.8109
adversarial,50,0.75,0.08,7550018,False,,349,,True,0.6972,0.6172
adversarial,50,0.75,0.08,7550019,False,,,,,0.7282,0.6482
adversarial,50,0.75,0.08,7550020,False,,243,,True,0.6333,0.5533
adversarial,50,0.75,0.08,7550021,True,128,145,17,False,0.9114,0.8314
adversarial,50,0.75,0.08,7550022,False,,144,,True,0.7377,0.6577
adversarial,50,0.75,0.08,7550023,True,276,208,-68,True,0.8218,0.7418
adversarial,50,0.75,0.08,7550024,True,445,,,,0.8561,0.7761
adversarial,50,0.75,0.08,7550025,False,,,,,0.6085,0.5285
adversarial,50,0.75,0.08,7550026,True,99,,,,0.9014,0.8214
adversarial,50,0.75,0.08,7550027,True,195,188,-7,True,0.8357,0.7557
adversarial,50,0.75,0.08,7550028,False,,,,,0.5698,0.4898
adversarial,50,0.75,0.08,7550029,False,,,,,0.6911,0.6111
adversarial,50,0.75,0.1,7550000,True,81,268,187,False,0.8446,0.7446
adversarial,50,0.75,0.1,7550001,False,,262,,True,0.7402,0.6402
adversarial,50,0.75,0.1,7550002,False,,144,,True,0.5842,0.4842
adversarial,50,0.75,0.1,7550003,True,489,,,,0.8629,0.7629
adversarial,50,0.75,0.1,7550004,True,125,,,,0.8535,0.7535
adversarial,50,0.75,0.1,7550005,True,263,190,-73,True,0.8717,0.7717
adversarial,50,0.75,0.1,7550006,False,,,,,0.7198,0.6198
adversarial,50,0.75,0.1,7550007,False,,,,,0.7568,0.6568
adversarial,50,0.75,0.1,7550008,False,,,,,0.7919,0.6919
adversarial,50,0.75,0.1,7550009,False,,213,,True,0.6960,0.5960
adversarial,50,0.75,0.1,7550010,True,384,,,,0.8224,0.7224
adversarial,50,0.75,0.1,7550011,False,,145,,True,0.7995,0.6995
adversarial,50,0.75,0.1,7550012,False,,396,,True,0.6962,0.5962
adversarial,50,0.75,0.1,7550013,False,,,,,0.6162,0.5162
adversarial,50,0.75,0.1,7550014,True,388,144,-244,True,0.8504,0.7504
adversarial,50,0.75,0.1,7550015,False,,195,,True,0.6690,0.5690
adversarial,50,0.75,0.1,7550016,True,469,293,-176,True,0.8415,0.7415
adversarial,50,0.75,0.1,7550017,True,331,329,-2,True,0.8909,0.7909
adversarial,50,0.75,0.1,7550018,False,,349,,True,0.6972,0.5972
adversarial,50,0.75,0.1,7550019,False,,,,,0.7282,0.6282
adversarial,50,0.75,0.1,7550020,False,,243,,True,0.6333,0.5333
adversarial,50,0.75,0.1,7550021,True,132,145,13,False,0.9114,0.8114
adversarial,50,0.75,0.1,7550022,False,,144,,True,0.7377,0.6377
adversarial,50,0.75,0.1,7550023,True,465,208,-257,True,0.8218,0.7218
adversarial,50,0.75,0.1,7550024,False,,,,,0.8561,0.7561
adversarial,50,0.75,0.1,7550025,False,,,,,0.6085,0.5085
adversarial,50,0.75,0.1,7550026,True,104,,,,0.9014,0.8014
adversarial,50,0.75,0.1,7550027,True,197,188,-9,True,0.8357,0.7357
adversarial,50,0.75,0.1,7550028,False,,,,,0.5698,0.4698
adversarial,50,0.75,0.1,7550029,False,,,,,0.6911,0.5911
adversarial,50,0.85,0.02,8550000,True,221,166,-55,True,0.9091,0.8891
adversarial,50,0.85,0.02,8550001,True,107,317,210,False,0.8902,0.8702
adversarial,50,0.85,0.02,8550002,True,168,150,-18,True,0.8405,0.8205
adversarial,50,0.85,0.02,8550003,False,,,,,0.8222,0.8022
adversarial,50,0.85,0.02,8550004,False,,278,,True,0.8161,0.7961
adversarial,50,0.85,0.02,8550005,True,85,,,,0.9568,0.9368
adversarial,50,0.85,0.02,8550006,False,,322,,True,0.8032,0.7832
adversarial,50,0.85,0.02,8550007,True,214,214,0,True,0.8792,0.8592
adversarial,50,0.85,0.02,8550008,True,99,481,382,False,0.9224,0.9024
adversarial,50,0.85,0.02,8550009,False,,335,,True,0.7873,0.7673
adversarial,50,0.85,0.02,8550010,False,,205,,True,0.8022,0.7822
adversarial,50,0.85,0.02,8550011,True,182,155,-27,True,0.8610,0.8410
adversarial,50,0.85,0.02,8550012,False,,163,,True,0.7048,0.6848
adversarial,50,0.85,0.02,8550013,True,101,,,,0.9447,0.9247
adversarial,50,0.85,0.02,8550014,True,262,266,4,False,0.8478,0.8278
adversarial,50,0.85,0.02,8550015,True,192,,,,0.8855,0.8655
adversarial,50,0.85,0.02,8550016,False,,456,,True,0.7298,0.7098
adversarial,50,0.85,0.02,8550017,True,129,,,,0.8507,0.8307
adversarial,50,0.85,0.02,8550018,False,,,,,0.7293,0.7093
adversarial,50,0.85,0.02,8550019,False,,,,,0.7840,0.7640
adversarial,50,0.85,0.02,8550020,False,,,,,0.8473,0.8273
adversarial,50,0.85,0.02,8550021,False,,479,,True,0.8342,0.8142
adversarial,50,0.85,0.02,8550022,True,233,215,-18,True,0.8709,0.8509
adversarial,50,0.85,0.02,8550023,False,,,,,0.7569,0.7369
adversarial,50,0.85,0.02,8550024,True,149,,,,0.9032,0.8832
adversarial,50,0.85,0.02,8550025,True,442,,,,0.8044,0.7844
adversarial,50,0.85,0.02,8550026,False,,275,,True,0.7958,0.7758
