method,seed,checkpoint,cumulative_accuracy,window_accuracy,action_0_accuracy,action_1_accuracy,action_2_accuracy,action_3_accuracy
compounding,4096,500,0.56,0.61,0.714286,0.044776,0.638298,0.607143
compounding,4096,1000,0.603,0.646,0.823899,0.042945,0.627976,0.74269
compounding,4096,2000,0.6585,0.714,0.884735,0.132231,0.657617,0.840735
compounding,4096,5000,0.6992,0.726333,0.925882,0.076561,0.743153,0.858263
compounding,5120,50,0.28,0.28,0.0,0.0,0.142857,0.785714
compounding,5120,100,0.36,0.44,0.125,0.0,0.35,0.740741
compounding,5120,200,0.41,0.46,0.242424,0.060606,0.310811,0.816667
compounding,5120,500,0.536,0.62,0.463415,0.078947,0.519774,0.8
compounding,5120,1000,0.604,0.672,0.695402,0.052632,0.674699,0.773994
compounding,5120,2000,0.662,0.72,0.8,0.029326,0.75228,0.827744
compounding,5120,5000,0.696,0.718667,0.856098,0.053057,0.789702,0.857731
compounding,6144,50,0.26,0.26,0.0,0.571429,0.266667,0.294118
compounding,6144,100,0.31,0.36,0.038462,0.307692,0.448276,0.40625
compounding,6144,200,0.425,0.54,0.357143,0.24,0.313433,0.651515
compounding,6144,500,0.558,0.646667,0.645833,0.191781,0.463855,0.763636
compounding,6144,1000,0.638,0.718,0.79558,0.148649,0.600619,0.798851
compounding,6144,2000,0.679,0.72,0.865922,0.079208,0.680303,0.846834
compounding,6144,5000,0.7008,0.715333,0.870819,0.053416,0.752305,0.871252
fixed_weight,42,50,0.16,0.16,1.0,0.0,0.0,0.0
fixed_weight,42,100,0.18,0.2,1.0,0.0,0.0,0.0
fixed_weight,42,200,0.18,0.18,1.0,0.0,0.0,0.0
fixed_weight,42,500,0.19,0.196667,1.0,0.0,0.0,0.0
fixed_weight,42,1000,0.187,0.184,1.0,0.0,0.0,0.0
fixed_weight,42,2000,0.1855,0.184,1.0,0.0,0.0,0.0
fixed_weight,42,5000,0.174,0.166333,1.0,0.0,0.0,0.0
fixed_weight,123,50,0.16,0.16,1.0,0.0,0.0,0.0
fixed_weight,123,100,0.13,0.1,1.0,0.0,0.0,0.0
fixed_weight,123,200,0.14,0.15,1.0,0.0,0.0,0.0
fixed_weight,123,500,0.166,0.183333,1.0,0.0,0.0,0.0
fixed_weight,123,1000,0.167,0.168,1.0,0.0,0.0,0.0
fixed_weight,123,2000,0.172,0.177,1.0,0.0,0.0,0.0
fixed_weight,123,5000,0.1708,0.17,1.0,0.0,0.0,0.0
fixed_weight,456,50,0.16,0.16,1.0,0.0,0.0,0.0
fixed_weight,456,100,0.14,0.12,1.0,0.0,0.0,0.0
fixed_weight,456,200,0.15,0.16,1.0,0.0,0.0,0.0
fixed_weight,456,500,0.148,0.146667,1.0,0.0,0.0,0.0
fixed_weight,456,1000,0.149,0.15,1.0,0.0,0.0,0.0
fixed_weight,456,2000,0.1495,0.15,1.0,0.0,0.0,0.0
fixed_weight,456,5000,0.1606,0.168,1.0,0.0,0.0,0.0
fixed_weight,789,50,0.18,0.18,1.0,0.0,0.0,0.0
fixed_weight,789,100,0.16,0.14,1.0,0.0,0.0,0.0
fixed_weight,789,200,0.165,0.17,1.0,0.0,0.0,0.0
fixed_weight,789,500,0.206,0.233333,1.0,0.0,0.0,0.0
fixed_weight,789,1000,0.195,0.184,1.0,0.0,0.0,0.0
fixed_weight,789,2000,0.185,0.175,1.0,0.0,0.0,0.0
fixed_weight,789,5000,0.1726,0.164333,1.0,0.0,0.0,0.0
fixed_weight,1024,50,0.12,0.12,1.0,0.0,0.0,0.0
fixed_weight,1024,100,0.18,0.24,1.0,0.0,0.0,0.0
fixed_weight,1024,200,0.17,0.16,1.0,0.0,0.0,0.0
fixed_weight,1024,500,0.168,0.166667,1.0,0.0,0.0,0.0
fixed_weight,1024,1000,0.168,0.168,1.0,0.0,0.0,0.0
fixed_weight,1024,2000,0.1555,0.143,1.0,0.0,0.0,0.0
fixed_weight,1024,5000,0.163,0.168,1.0,0.0,0.0,0.0
fixed_weight,2048,50,0.16,0.16,1.0,0.0,0.0,0.0
fixed_weight,2048,100,0.16,0.16,1.0,0.0,0.0,0.0
fixed_weight,2048,200,0.155,0.15,1.0,0.0,0.0,0.0
fixed_weight,2048,500,0.148,0.143333,1.0,0.0,0.0,0.0
fixed_weight,2048,1000,0.153,0.158,1.0,0.0,0.0,0.0
fixed_weight,2048,2000,0.1605,0.168,1.0,0.0,0.0,0.0
fixed_weight,2048,5000,0.1668,0.171,1.0,0.0,0.0,0.0
fixed_weight,3072,50,0.22,0.22,1.0,0.0,0.0,0.0
fixed_weight,3072,100,0.26,0.3,1.0,0.0,0.0,0.0
fixed_weight,3072,200,0.18,0.1,1.0,0.0,0.0,0.0
fixed_weight,3072,500,0.174,0.17,1.0,0.0,0.0,0.0
fixed_weight,3072,1000,0.178,0.182,1.0,0.0,0.0,0.0
fixed_weight,3072,2000,0.172,0.166,1.0,0.0,0.0,0.0
fixed_weight,3072,5000,0.1734,0.174333,1.0,0.0,0.0,0.0
fixed_weight,4096,50,0.14,0.14,1.0,0.0,0.0,0.0
fixed_weight,4096,100,0.14,0.14,1.0,0.0,0.0,0.0
fixed_weight,4096,200,0.16,0.18,1.0,0.0,0.0,0.0
fixed_weight,4096,500,0.154,0.15,1.0,0.0,0.0,0.0
fixed_weight,4096,1000,0.159,0.164,1.0,0.0,0.0,0.0
fixed_weight,4096,2000,0.1605,0.162,1.0,0.0,0.0,0.0
fixed_weight,4096,5000,0.17,0.176333,1.0,0.0,0.0,0.0
fixed_weight,5120,50,0.12,0.12,1.0,0.0,0.0,0.0
fixed_weight,5120,100,0.16,0.2,1.0,0.0,0.0,0.0
fixed_weight,5120,200,0.165,0.17,1.0,0.0,0.0,0.0
fixed_weight,5120,500,0.164,0.163333,1.0,0.0,0.0,0.0
fixed_weight,5120,1000,0.174,0.184,1.0,0.0,0.0,0.0
fixed_weight,5120,2000,0.1725,0.171,1.0,0.0,0.0,0.0
fixed_weight,5120,5000,0.164,0.158333,1.0,0.0,0.0,0.0
fixed_weight,6144,50,0.22,0.22,1.0,0.0,0.0,0.0
fixed_weight,6144,100,0.26,0.3,1.0,0.0,0.0,0.0
fixed_weight,6144,200,0.21,0.16,1.0,0.0,0.0,0.0
fixed_weight,6144,500,0.192,0.18,1.0,0.0,0.0,0.0
fixed_weight,6144,1000,0.181,0.17,1.0,0.0,0.0,0.0
fixed_weight,6144,2000,0.179,0.177,1.0,0.0,0.0,0.0
fixed_weight,6144,5000,0.1734,0.169667,1.0,0.0,0.0,0.0
random_policy,42,50,0.34,0.34,0.25,0.5,0.26087,0.466667
random_policy,42,100,0.33,0.32,0.277778,0.538462,0.276596,0.363636
random_policy,42,200,0.31,0.29,0.277778,0.346154,0.302326,0.326923
random_policy,42,500,0.284,0.266667,0.263158,0.280488,0.265537,0.321918
