condition,eta,eta_neg,noise_rate,seed,checkpoint,cumulative_gt_acc,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider,mean_profile_drift,mean_profile_separation
centroid_only,0.0,0.0,0.3,4096,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,4096,100,0.99,0.9411764705882353,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,4096,200,0.975,0.9512195121951219,1.0,0.95,1.0,0.9736842105263158,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,4096,400,0.9775,0.9625,1.0,0.9411764705882353,1.0,0.975,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,4096,700,0.98,0.9703703703703703,0.9938271604938271,0.9541984732824428,1.0,0.9779411764705882,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,4096,1000,0.981,0.9766355140186916,0.9906976744186047,0.9505494505494505,1.0,0.9844559585492227,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,5120,50,0.98,1.0,1.0,0.9166666666666666,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,5120,100,0.98,1.0,1.0,0.9130434782608695,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,5120,200,0.975,0.9743589743589743,1.0,0.9375,1.0,0.9722222222222222,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,5120,400,0.975,0.9761904761904762,1.0,0.9411764705882353,1.0,0.9615384615384616,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,5120,700,0.98,0.9788732394366197,0.9916666666666667,0.9554140127388535,1.0,0.9791666666666666,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,5120,1000,0.98,0.9855769230769231,0.994413407821229,0.9447004608294931,1.0,0.9807692307692307,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,6144,50,0.98,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,6144,100,0.99,0.9523809523809523,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,6144,200,0.975,0.9565217391304348,1.0,0.9705882352941176,1.0,0.9545454545454546,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,6144,400,0.97,0.9764705882352941,1.0,0.918918918918919,0.9894736842105263,0.9655172413793104,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,6144,700,0.9771428571428571,0.9855072463768116,0.9915254237288136,0.9379310344827586,0.9933774834437086,0.9797297297297297,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,6144,1000,0.978,0.9855769230769231,0.9940828402366864,0.9521531100478469,0.9951923076923077,0.9660194174757282,0.0,0.9934291911923904
profile_warm,0.01,0.005,0.0,42,50,0.98,1.0,1.0,1.0,0.8571428571428571,1.0,0.004568068250866284,0.9941915091027148
profile_warm,0.01,0.005,0.0,42,100,0.99,1.0,1.0,1.0,0.9411764705882353,1.0,0.006761330531243516,0.9931026375310222
profile_warm,0.01,0.005,0.0,42,200,0.995,1.0,1.0,1.0,0.967741935483871,1.0,0.009902298324998934,0.9916558105931432
profile_warm,0.01,0.005,0.0,42,400,0.98,0.9680851063829787,1.0,0.9436619718309859,0.9852941176470589,1.0,0.013732360456270524,0.9889871950293518
profile_warm,0.01,0.005,0.0,42,700,0.9857142857142858,0.9803921568627451,0.9928571428571429,0.9703703703703703,0.9924812030075187,0.9928057553956835,0.016092941381108145,0.986495909831583
profile_warm,0.01,0.005,0.0,42,1000,0.983,0.981651376146789,0.9891304347826086,0.9552238805970149,0.995,0.9949238578680203,0.01803232377712568,0.9850164708103349
profile_warm,0.01,0.005,0.0,123,50,0.98,1.0,1.0,0.8888888888888888,1.0,1.0,0.0038962777726837617,0.9929341107147516
profile_warm,0.01,0.005,0.0,123,100,0.98,1.0,1.0,0.8823529411764706,1.0,1.0,0.006183098987572656,0.9933325839048341
